Metric,Score
Accuracy,0.971250
MCC,0.967191
Misclassified,23
Precision-1,0.959184
Precision-2,0.989011
Precision-3,0.979798
Precision-4,0.981651
Precision-5,1.000000
Precision-6,0.920792
Precision-7,0.971963
Precision-8,0.968085
Recall-1,0.969072
Recall-2,0.989011
Recall-3,1.000000
Recall-4,1.000000
Recall-5,1.000000
Recall-6,0.911765
Recall-7,1.000000
Recall-8,0.900990
F1_Score-1,0.964103
F1_Score-2,0.989011
F1_Score-3,0.989796
F1_Score-4,0.990741
F1_Score-5,1.000000
F1_Score-6,0.916256
F1_Score-7,0.985782
F1_Score-8,0.933333
