metric,value
misclassified,23
accuracy,0.97125
mcc,0.9671911536579973
precision_class_0,0.9591836734693877
recall_class_0,0.9690721649484536
f1_score_class_0,0.964102564102564
precision_class_1,0.989010989010989
recall_class_1,0.989010989010989
f1_score_class_1,0.989010989010989
precision_class_2,0.9797979797979798
recall_class_2,1.0
f1_score_class_2,0.989795918367347
precision_class_3,0.981651376146789
recall_class_3,1.0
f1_score_class_3,0.9907407407407407
precision_class_4,1.0
recall_class_4,1.0
f1_score_class_4,1.0
precision_class_5,0.9207920792079208
recall_class_5,0.9117647058823529
f1_score_class_5,0.9162561576354681
precision_class_6,0.9719626168224299
recall_class_6,1.0
f1_score_class_6,0.985781990521327
precision_class_7,0.9680851063829787
recall_class_7,0.900990099009901
f1_score_class_7,0.9333333333333335
