metric,value
misclassified,32
accuracy,0.96
mcc,0.9543662488554435
precision_class_0,0.95
recall_class_0,0.979381443298969
f1_score_class_0,0.9644670050761421
precision_class_1,0.9770114942528736
recall_class_1,0.9340659340659341
f1_score_class_1,0.9550561797752809
precision_class_2,0.9509803921568627
recall_class_2,1.0
f1_score_class_2,0.9748743718592965
precision_class_3,1.0
recall_class_3,0.9532710280373832
f1_score_class_3,0.9760765550239235
precision_class_4,1.0
recall_class_4,1.0
f1_score_class_4,1.0
precision_class_5,0.9207920792079208
recall_class_5,0.9117647058823529
f1_score_class_5,0.9162561576354681
precision_class_6,0.9541284403669725
recall_class_6,1.0
f1_score_class_6,0.9765258215962441
precision_class_7,0.9285714285714286
recall_class_7,0.900990099009901
f1_score_class_7,0.914572864321608
